track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sagitta,Numa Gama,spotify:track:2Ispz9IR8dYUTKZV4aTP8w,0.702,0.303,7,-10.854,1,0.093,0.331,0.735,0.105,0.114,192.013,audio_features,2Ispz9IR8dYUTKZV4aTP8w,spotify:track:2Ispz9IR8dYUTKZV4aTP8w,https://api.spotify.com/v1/tracks/2Ispz9IR8dYUTKZV4aTP8w,https://api.spotify.com/v1/audio-analysis/2Ispz9IR8dYUTKZV4aTP8w,419418,4
Cumbia del Olvido,Nicola Cruz,spotify:track:5pU9azu0VQIUk2nTUVxwxY,0.71,0.312,1,-11.451,0,0.0857,0.938,0.909,0.109,0.25,169.955,audio_features,5pU9azu0VQIUk2nTUVxwxY,spotify:track:5pU9azu0VQIUk2nTUVxwxY,https://api.spotify.com/v1/tracks/5pU9azu0VQIUk2nTUVxwxY,https://api.spotify.com/v1/audio-analysis/5pU9azu0VQIUk2nTUVxwxY,216015,4
La Luna y el Lobo (Jhon Montoya Expedition),Matanza,spotify:track:6SZyK0T4Om4LZ8tGbm9keV,0.613,0.417,0,-11.043,1,0.0469,0.246,0.683,0.126,0.164,179.995,audio_features,6SZyK0T4Om4LZ8tGbm9keV,spotify:track:6SZyK0T4Om4LZ8tGbm9keV,https://api.spotify.com/v1/tracks/6SZyK0T4Om4LZ8tGbm9keV,https://api.spotify.com/v1/audio-analysis/6SZyK0T4Om4LZ8tGbm9keV,308427,4
La Luna y el Lobo (Jhon Montoya Expedition),Oceanvs Orientalis,spotify:track:6SZyK0T4Om4LZ8tGbm9keV,0.613,0.417,0,-11.043,1,0.0469,0.246,0.683,0.126,0.164,179.995,audio_features,6SZyK0T4Om4LZ8tGbm9keV,spotify:track:6SZyK0T4Om4LZ8tGbm9keV,https://api.spotify.com/v1/tracks/6SZyK0T4Om4LZ8tGbm9keV,https://api.spotify.com/v1/audio-analysis/6SZyK0T4Om4LZ8tGbm9keV,308427,4
Guarania (En Vivo),Nación Ekeko,spotify:track:1VYbzGfxfwTHBe0OTNncXL,0.661,0.35,1,-17.513,1,0.052,0.629,0.724,0.229,0.233,135.028,audio_features,1VYbzGfxfwTHBe0OTNncXL,spotify:track:1VYbzGfxfwTHBe0OTNncXL,https://api.spotify.com/v1/tracks/1VYbzGfxfwTHBe0OTNncXL,https://api.spotify.com/v1/audio-analysis/1VYbzGfxfwTHBe0OTNncXL,266667,4
Apnée,Xique-Xique,spotify:track:1fXIAydFaPYya5MciNFnvR,0.88,0.483,8,-9.842,1,0.0911,0.0205,0.786,0.148,0.15,107.002,audio_features,1fXIAydFaPYya5MciNFnvR,spotify:track:1fXIAydFaPYya5MciNFnvR,https://api.spotify.com/v1/tracks/1fXIAydFaPYya5MciNFnvR,https://api.spotify.com/v1/audio-analysis/1fXIAydFaPYya5MciNFnvR,352159,4
Mantis - L_Cio Remix,Nicola Cruz,spotify:track:1GnVOtr5WwnaMR79fiDPgv,0.78,0.769,7,-7.602,1,0.0439,0.109,0.884,0.066,0.437,111.003,audio_features,1GnVOtr5WwnaMR79fiDPgv,spotify:track:1GnVOtr5WwnaMR79fiDPgv,https://api.spotify.com/v1/tracks/1GnVOtr5WwnaMR79fiDPgv,https://api.spotify.com/v1/audio-analysis/1GnVOtr5WwnaMR79fiDPgv,460541,4
Manana Tepotzlan,El Búho,spotify:track:73myc2rii2DVG3HpTkGOnl,0.61,0.549,10,-8.98,1,0.275,0.262,1.86e-06,0.141,0.38,79.999,audio_features,73myc2rii2DVG3HpTkGOnl,spotify:track:73myc2rii2DVG3HpTkGOnl,https://api.spotify.com/v1/tracks/73myc2rii2DVG3HpTkGOnl,https://api.spotify.com/v1/audio-analysis/73myc2rii2DVG3HpTkGOnl,240000,4
Ayahuasca,NTO,spotify:track:4Q6RvWBZDZ4RizihpbG3qU,0.681,0.474,7,-9.862,0,0.483,0.357,0.502,0.113,0.564,123.013,audio_features,4Q6RvWBZDZ4RizihpbG3qU,spotify:track:4Q6RvWBZDZ4RizihpbG3qU,https://api.spotify.com/v1/tracks/4Q6RvWBZDZ4RizihpbG3qU,https://api.spotify.com/v1/audio-analysis/4Q6RvWBZDZ4RizihpbG3qU,418702,4
Atahualpa,Nación Ekeko,spotify:track:19d9NJpNn4ZGYxcqzCrM7K,0.63,0.677,0,-8.752,1,0.0476,0.163,0.537,0.228,0.631,170.061,audio_features,19d9NJpNn4ZGYxcqzCrM7K,spotify:track:19d9NJpNn4ZGYxcqzCrM7K,https://api.spotify.com/v1/tracks/19d9NJpNn4ZGYxcqzCrM7K,https://api.spotify.com/v1/audio-analysis/19d9NJpNn4ZGYxcqzCrM7K,245288,4
